description,category,person_names,dates,topics,effects,anatomical_terms
"Summary: Practices like FGM, forced marriage, or virginity testing. Child reported by John Moody, Maxwell Blair Incident occurred on 05 March 2024, 17 September 2020 Effects reported: HIV.",Harmful cultural practices,John Moody; Maxwell Blair,05 March 2024; 17 September 2020,,HIV,
"Reported incident: Sexual acts between close relatives. Child reported by Nicholas Castillo, Michael Smith Incident occurred on 16 May 2023, 08 November 2023 Effects reported: infection Affected parts: labia majora.",Incest,Nicholas Castillo; Michael Smith,16 May 2023; 08 November 2023,,infection,labia majora
"Narrative: A child deserted by the parent or caregiver or not contacted for 6+ months. Child reported by Miguel Cross, Michael Mcfarland Incident occurred on 25 April 2025 Topics involved include child marriage Effects reported: psychological problems.",Abandoned,Miguel Cross; Michael Mcfarland,25 April 2025,child marriage,psychological problems,
"Case overview: Child with impairments affecting daily life. Child reported by Holly Brown Incident occurred on 24 August 2020, 25 April 2022 Topics involved include child marriage Effects reported: anxiety Affected parts: labia majora.",Child with disability,Holly Brown,24 August 2020; 25 April 2022,child marriage,anxiety,labia majora
"Narrative: A child under 14 unlawfully or forcibly taken or detained. Child reported by Maria Johnson Incident occurred on 30 March 2022, 18 December 2024 Topics involved include Female Genital Mutilation Effects reported: psychological problems, infection Affected parts: labia minora.",Abduction,Maria Johnson,30 March 2022; 18 December 2024,Female Genital Mutilation,psychological problems; infection,labia minora
"Reported incident: Child engaged in use or trafficking of drugs. Child reported by Zachary Murphy Incident occurred on 05 May 2023, 23 November 2022 Effects reported: infection.",Drug and substance abuse,Zachary Murphy,05 May 2023; 23 November 2022,,infection,
"Case overview: Exploitation of a child’s vulnerability or trust for sexual gain. Child reported by Amanda Smith, Johnny Lewis Incident occurred on 27 March 2021, 05 April 2023 Topics involved include child marriage, online child abuse.",Sexual assault and Abuse,Amanda Smith; Johnny Lewis,27 March 2021; 05 April 2023,child marriage; online child abuse,,
"Summary: Sexual acts between close relatives. Child reported by Joshua Freeman, Aaron Garcia Incident occurred on 22 January 2023 Topics involved include Female Genital Mutilation Effects reported: anxiety Affected parts: clitoris.",Incest,Joshua Freeman; Aaron Garcia,22 January 2023,Female Genital Mutilation,anxiety,clitoris
"Case overview: Penetration act with a child including sodomy. Child reported by Christopher Ortiz, Susan Tran Incident occurred on 26 April 2021 Topics involved include drug and substance abuse Effects reported: psychological problems Affected parts: labia minora.",Defilement,Christopher Ortiz; Susan Tran,26 April 2021,drug and substance abuse,psychological problems,labia minora
"Case overview: Infliction or failure to prevent physical harm to a child. Child reported by Terri Walker, Claudia Camacho Incident occurred on 09 December 2023, 18 October 2024 Topics involved include emotional abuse Effects reported: trauma Affected parts: reproductive organs.",Physical abuse/violence,Terri Walker; Claudia Camacho,09 December 2023; 18 October 2024,emotional abuse,trauma,reproductive organs
Case overview: Girl under 18 who is pregnant. Child reported by Angela Mercado Incident occurred on 23 March 2025 Effects reported: anxiety.,Child Pregnancy,Angela Mercado,23 March 2025,,anxiety,
"Case overview: Recruitment or transport of a child for exploitation. Child reported by Shelby Collins, Timothy Smith Incident occurred on 09 November 2023, 08 November 2023 Effects reported: trauma Affected parts: genitals.",Child Trafficking,Shelby Collins; Timothy Smith,09 November 2023; 08 November 2023,,trauma,genitals
"Reported incident: Infliction or failure to prevent physical harm to a child. Child reported by Heather Moore Incident occurred on 16 February 2023, 14 December 2021 Topics involved include emotional abuse Effects reported: anxiety, psychological problems Affected parts: labia minora.",Physical abuse/violence,Heather Moore,16 February 2023; 14 December 2021,emotional abuse,anxiety; psychological problems,labia minora
"Case overview: Care and control of a child by law or agreement. Child reported by Lisa Gonzales, Michael Mann Incident occurred on 05 June 2024, 05 August 2022 Effects reported: psychological problems.",Custody,Lisa Gonzales; Michael Mann,05 June 2024; 05 August 2022,,psychological problems,
"Summary: Child with impairments affecting daily life. Child reported by Jeff Johnson Incident occurred on 31 March 2023, 04 April 2023 Topics involved include Female Genital Mutilation.",Child with disability,Jeff Johnson,31 March 2023; 04 April 2023,Female Genital Mutilation,,
"Case overview: Practices like FGM, forced marriage, or virginity testing. Child reported by Melissa Mcclain Incident occurred on 01 November 2023, 24 February 2021 Topics involved include drug and substance abuse Effects reported: HIV, infection.",Harmful cultural practices,Melissa Mcclain,01 November 2023; 24 February 2021,drug and substance abuse,HIV; infection,
Case overview: Child tested positive for HIV. Child reported by Kelly Hawkins Incident occurred on 27 April 2022.,Child infected with HIV,Kelly Hawkins,27 April 2022,,,
"Reported incident: A child living, begging, or working on the street. Child reported by Patricia Johnson, John Bryant Incident occurred on 11 February 2022, 02 August 2022 Affected parts: genitals.",Children on the Street,Patricia Johnson; John Bryant,11 February 2022; 02 August 2022,,,genitals
"Case overview: A child deserted by the parent or caregiver or not contacted for 6+ months. Child reported by Dennis Jones Incident occurred on 19 April 2024, 16 December 2024 Topics involved include online child abuse Effects reported: infection Affected parts: labia minora.",Abandoned,Dennis Jones,19 April 2024; 16 December 2024,online child abuse,infection,labia minora
"Case overview: Care and control of a child by law or agreement. Child reported by Brandi Stafford, Alyssa Benitez Incident occurred on 27 August 2020 Topics involved include emotional abuse Effects reported: anxiety, high rate of bleeding Affected parts: clitoris.",Custody,Brandi Stafford; Alyssa Benitez,27 August 2020,emotional abuse,anxiety; high rate of bleeding,clitoris
"Summary: Penetration act with a child including sodomy. Child reported by Danielle Brown, Jessica Anderson Incident occurred on 12 November 2020, 30 December 2022 Topics involved include online child abuse Effects reported: infection Affected parts: clitoris.",Defilement,Danielle Brown; Jessica Anderson,12 November 2020; 30 December 2022,online child abuse,infection,clitoris
"Reported incident: Acts harming a child's emotional development. Child reported by Jeffrey Todd, Miguel Johns Incident occurred on 27 September 2020, 01 November 2021 Effects reported: anxiety, high rate of bleeding.",Emotional abuse,Jeffrey Todd; Miguel Johns,27 September 2020; 01 November 2021,,anxiety; high rate of bleeding,
"Reported incident: A child under 14 unlawfully or forcibly taken or detained. Child reported by Brittany White Incident occurred on 15 November 2023, 03 December 2020 Topics involved include drug and substance abuse, emotional abuse.",Abduction,Brittany White,15 November 2023; 03 December 2020,drug and substance abuse; emotional abuse,,
"Case overview: An attempt to penetrate a child. Child reported by James Allen, Sean Cook Incident occurred on 25 August 2020 Topics involved include emotional abuse, harmful cultural practices Effects reported: infection Affected parts: labia minora.",Attempted Defilement,James Allen; Sean Cook,25 August 2020,emotional abuse; harmful cultural practices,infection,labia minora
"Summary: Hazardous, exploitative or inappropriate work for a child. Child reported by Brittney Howard, Amber Pierce Incident occurred on 01 January 2023 Topics involved include child labor, emotional abuse.",Child labor,Brittney Howard; Amber Pierce,01 January 2023,child labor; emotional abuse,,
"Narrative: Care and control of a child by law or agreement. Child reported by Bradley Michael, William Cline Incident occurred on 30 July 2021 Effects reported: anxiety, infection Affected parts: genitals.",Custody,Bradley Michael; William Cline,30 July 2021,,anxiety; infection,genitals
"Case overview: Child engaged in use or trafficking of drugs. Child reported by Raven Stanley Incident occurred on 05 February 2024, 01 February 2024 Effects reported: infection Affected parts: genitals.",Drug and substance abuse,Raven Stanley,05 February 2024; 01 February 2024,,infection,genitals
"Narrative: Hazardous, exploitative or inappropriate work for a child. Child reported by Corey Ryan Incident occurred on 09 December 2022 Topics involved include harmful cultural practices, online child abuse Effects reported: high rate of bleeding.",Child labor,Corey Ryan,09 December 2022,harmful cultural practices; online child abuse,high rate of bleeding,
"Case overview: Child with impairments affecting daily life. Child reported by Eric Solis Incident occurred on 26 October 2022 Topics involved include online child abuse, child marriage Effects reported: anxiety.",Child with disability,Eric Solis,26 October 2022,online child abuse; child marriage,anxiety,
"Reported incident: Non-medical cutting or injury of female genitals. Child reported by Robert Castro Incident occurred on 28 June 2023, 09 May 2021 Topics involved include drug and substance abuse, harmful cultural practices Effects reported: HIV.",Female Genital Mutilation (FGM),Robert Castro,28 June 2023; 09 May 2021,drug and substance abuse; harmful cultural practices,HIV,
"Summary: Care and control of a child by law or agreement. Child reported by David Wilkinson, Cassidy Yates Incident occurred on 07 June 2020, 27 March 2022 Topics involved include online child abuse Affected parts: labia minora.",Custody,David Wilkinson; Cassidy Yates,07 June 2020; 27 March 2022,online child abuse,,labia minora
Case overview: Recruitment or transport of a child for exploitation. Child reported by Tammy Mcdonald Incident occurred on 03 December 2021 Topics involved include Female Genital Mutilation Effects reported: infection Affected parts: labia minora.,Child Trafficking,Tammy Mcdonald,03 December 2021,Female Genital Mutilation,infection,labia minora
"Narrative: Acts harming a child's emotional development. Child reported by Geoffrey Kennedy Incident occurred on 16 August 2022, 17 August 2021 Effects reported: trauma, infection Affected parts: reproductive organs.",Emotional abuse,Geoffrey Kennedy,16 August 2022; 17 August 2021,,trauma; infection,reproductive organs
"Case overview: Marriage or cohabitation with a child. Child reported by Sarah Robinson Incident occurred on 19 December 2021, 09 February 2021 Topics involved include harmful cultural practices, drug and substance abuse.",Child marriage,Sarah Robinson,19 December 2021; 09 February 2021,harmful cultural practices; drug and substance abuse,,
Case overview: An attempt to penetrate a child. Child reported by Mckenzie Robinson Incident occurred on 19 April 2021 Effects reported: high rate of bleeding.,Attempted Defilement,Mckenzie Robinson,19 April 2021,,high rate of bleeding,
Summary: An attempt to penetrate a child. Child reported by Misty Ramos Incident occurred on 23 April 2022 Affected parts: reproductive organs.,Attempted Defilement,Misty Ramos,23 April 2022,,,reproductive organs
"Narrative: Acts harming a child's emotional development. Child reported by Valerie Curtis, Holly Mccoy Incident occurred on 05 November 2020, 15 June 2022 Topics involved include harmful cultural practices Affected parts: clitoris.",Emotional abuse,Valerie Curtis; Holly Mccoy,05 November 2020; 15 June 2022,harmful cultural practices,,clitoris
"Reported incident: Acts harming a child's emotional development. Child reported by Caleb Jones, Tiffany Carter Incident occurred on 31 July 2020, 22 January 2022 Effects reported: trauma Affected parts: labia minora.",Emotional abuse,Caleb Jones; Tiffany Carter,31 July 2020; 22 January 2022,,trauma,labia minora
"Narrative: Child with impairments affecting daily life. Child reported by Michael Turner, Jeffrey Guzman Incident occurred on 11 November 2024 Topics involved include emotional abuse Effects reported: infection, psychological problems Affected parts: labia majora.",Child with disability,Michael Turner; Jeffrey Guzman,11 November 2024,emotional abuse,infection; psychological problems,labia majora
"Summary: Recruitment or transport of a child for exploitation. Child reported by William Ryan Incident occurred on 13 March 2021, 22 September 2024 Topics involved include drug and substance abuse, online child abuse Effects reported: psychological problems Affected parts: labia majora.",Child Trafficking,William Ryan,13 March 2021; 22 September 2024,drug and substance abuse; online child abuse,psychological problems,labia majora
"Narrative: Marriage or cohabitation with a child. Child reported by Benjamin Rodriguez, Jonathan Joyce Incident occurred on 04 July 2022, 09 March 2021 Affected parts: genitals.",Child marriage,Benjamin Rodriguez; Jonathan Joyce,04 July 2022; 09 March 2021,,,genitals
"Summary: Child engaged in use or trafficking of drugs. Child reported by Shannon Davis, Becky Reed Incident occurred on 22 November 2020 Topics involved include child marriage Effects reported: HIV Affected parts: labia majora.",Drug and substance abuse,Shannon Davis; Becky Reed,22 November 2020,child marriage,HIV,labia majora
"Summary: An attempt to penetrate a child. Child reported by Dr. Abigail Rogers Incident occurred on 20 January 2023, 03 April 2021 Topics involved include emotional abuse, child labor Effects reported: trauma Affected parts: reproductive organs.",Attempted Defilement,Dr. Abigail Rogers,20 January 2023; 03 April 2021,emotional abuse; child labor,trauma,reproductive organs
"Summary: An attempt to penetrate a child. Child reported by John Brandt Incident occurred on 19 April 2024, 18 May 2022 Effects reported: high rate of bleeding, psychological problems Affected parts: genitals.",Attempted Defilement,John Brandt,19 April 2024; 18 May 2022,,high rate of bleeding; psychological problems,genitals
"Case overview: Hazardous, exploitative or inappropriate work for a child. Child reported by Mr. David Curtis Incident occurred on 17 March 2021 Topics involved include harmful cultural practices Effects reported: psychological problems.",Child labor,Mr. David Curtis,17 March 2021,harmful cultural practices,psychological problems,
"Reported incident: Recruitment or transport of a child for exploitation. Child reported by Ethan Smith, Christopher Hughes Incident occurred on 13 May 2023, 27 October 2024 Topics involved include Female Genital Mutilation, child labor.",Child Trafficking,Ethan Smith; Christopher Hughes,13 May 2023; 27 October 2024,Female Genital Mutilation; child labor,,
"Case overview: Exploitation of a child’s vulnerability or trust for sexual gain. Child reported by Rickey Woods, Monica Hester Incident occurred on 04 January 2025, 12 August 2020 Topics involved include emotional abuse Effects reported: HIV, anxiety.",Sexual assault and Abuse,Rickey Woods; Monica Hester,04 January 2025; 12 August 2020,emotional abuse,HIV; anxiety,
"Reported incident: Child engaged in use or trafficking of drugs. Child reported by Roy Harrison, Holly Mccormick Incident occurred on 15 February 2022, 11 April 2021 Topics involved include online child abuse Effects reported: infection, high rate of bleeding Affected parts: reproductive organs.",Drug and substance abuse,Roy Harrison; Holly Mccormick,15 February 2022; 11 April 2021,online child abuse,infection; high rate of bleeding,reproductive organs
"Summary: Hazardous, exploitative or inappropriate work for a child. Child reported by Adam Christian Incident occurred on 20 April 2021, 02 July 2022 Affected parts: genitals.",Child labor,Adam Christian,20 April 2021; 02 July 2022,,,genitals
"Case overview: Penetration act with a child including sodomy. Child reported by Christina Flowers Incident occurred on 10 December 2024, 21 September 2023 Affected parts: genitals.",Defilement,Christina Flowers,10 December 2024; 21 September 2023,,,genitals
"Case overview: Marriage or cohabitation with a child. Child reported by Carla Vasquez, Steven Horton Incident occurred on 05 February 2022.",Child marriage,Carla Vasquez; Steven Horton,05 February 2022,,,
"Summary: Girl under 18 who is pregnant. Child reported by John Wong, Stephanie Murray Incident occurred on 17 December 2021, 21 May 2021 Effects reported: psychological problems, infection.",Child Pregnancy,John Wong; Stephanie Murray,17 December 2021; 21 May 2021,,psychological problems; infection,
"Reported incident: Child with impairments affecting daily life. Child reported by Eric Sanchez Incident occurred on 20 May 2024, 20 January 2023 Topics involved include online child abuse, child marriage Effects reported: psychological problems, anxiety.",Child with disability,Eric Sanchez,20 May 2024; 20 January 2023,online child abuse; child marriage,psychological problems; anxiety,
"Narrative: Right of a child to be registered at birth. Child reported by Christina Morrow Incident occurred on 04 October 2020, 15 June 2020 Topics involved include harmful cultural practices, child labor Effects reported: anxiety, high rate of bleeding Affected parts: clitoris.",Registration,Christina Morrow,04 October 2020; 15 June 2020,harmful cultural practices; child labor,anxiety; high rate of bleeding,clitoris
Summary: Marriage or cohabitation with a child. Child reported by Jacob Holder Incident occurred on 05 July 2024 Topics involved include drug and substance abuse Effects reported: HIV.,Child marriage,Jacob Holder,05 July 2024,drug and substance abuse,HIV,
"Case overview: A child under 14 unlawfully or forcibly taken or detained. Child reported by Sandra Liu, John Diaz Incident occurred on 09 December 2023, 29 August 2021 Topics involved include emotional abuse Effects reported: high rate of bleeding.",Abduction,Sandra Liu; John Diaz,09 December 2023; 29 August 2021,emotional abuse,high rate of bleeding,
"Summary: Practices like FGM, forced marriage, or virginity testing. Child reported by Crystal Murray Incident occurred on 08 May 2020.",Harmful cultural practices,Crystal Murray,08 May 2020,,,
Case overview: Acts harming a child's emotional development. Child reported by Jill Curry MD Incident occurred on 13 March 2022 Affected parts: genitals.,Emotional abuse,Jill Curry MD,13 March 2022,,,genitals
"Summary: Right of a child to be registered at birth. Child reported by Justin Spencer Incident occurred on 08 October 2021, 01 August 2024 Topics involved include emotional abuse, child marriage Affected parts: clitoris.",Registration,Justin Spencer,08 October 2021; 01 August 2024,emotional abuse; child marriage,,clitoris
"Summary: Child engaged in use or trafficking of drugs. Child reported by Leah Williams Incident occurred on 21 April 2021, 01 January 2022 Topics involved include drug and substance abuse Effects reported: anxiety.",Drug and substance abuse,Leah Williams,21 April 2021; 01 January 2022,drug and substance abuse,anxiety,
"Narrative: Child with impairments affecting daily life. Child reported by Clinton Wilson Incident occurred on 11 December 2021, 05 August 2021 Topics involved include online child abuse Effects reported: infection, HIV Affected parts: labia minora.",Child with disability,Clinton Wilson,11 December 2021; 05 August 2021,online child abuse,infection; HIV,labia minora
"Case overview: Infliction or failure to prevent physical harm to a child. Child reported by Michael Perez, Katherine Trevino Incident occurred on 12 January 2021 Topics involved include emotional abuse Effects reported: psychological problems, infection.",Physical abuse/violence,Michael Perez; Katherine Trevino,12 January 2021,emotional abuse,psychological problems; infection,
"Summary: Girl under 18 who is pregnant. Child reported by Scott Johnson, Kenneth Flores Incident occurred on 28 November 2023 Topics involved include Female Genital Mutilation, drug and substance abuse Effects reported: infection, psychological problems.",Child Pregnancy,Scott Johnson; Kenneth Flores,28 November 2023,Female Genital Mutilation; drug and substance abuse,infection; psychological problems,
"Case overview: Child tested positive for HIV. Child reported by Jean Williams, Michael Garcia Incident occurred on 17 December 2021, 18 September 2023 Topics involved include online child abuse Effects reported: high rate of bleeding, trauma Affected parts: labia majora.",Child infected with HIV,Jean Williams; Michael Garcia,17 December 2021; 18 September 2023,online child abuse,high rate of bleeding; trauma,labia majora
"Case overview: Acts harming a child's emotional development. Child reported by Michael Jacobson Incident occurred on 04 November 2024, 11 May 2021 Topics involved include drug and substance abuse, child marriage Effects reported: psychological problems Affected parts: reproductive organs.",Emotional abuse,Michael Jacobson,04 November 2024; 11 May 2021,drug and substance abuse; child marriage,psychological problems,reproductive organs
"Narrative: Acts harming a child's emotional development. Child reported by Jason Sweeney, Shawn Dennis Incident occurred on 25 July 2022, 05 July 2023 Topics involved include child labor, drug and substance abuse Effects reported: anxiety Affected parts: labia minora.",Emotional abuse,Jason Sweeney; Shawn Dennis,25 July 2022; 05 July 2023,child labor; drug and substance abuse,anxiety,labia minora
"Narrative: Hazardous, exploitative or inappropriate work for a child. Child reported by John Harris, Amanda Vaughn Incident occurred on 01 January 2024, 15 June 2023 Affected parts: reproductive organs.",Child labor,John Harris; Amanda Vaughn,01 January 2024; 15 June 2023,,,reproductive organs
"Summary: Marriage or cohabitation with a child. Child reported by Sarah Crawford MD Incident occurred on 11 June 2021, 07 September 2022 Topics involved include harmful cultural practices Effects reported: anxiety Affected parts: clitoris.",Child marriage,Sarah Crawford MD,11 June 2021; 07 September 2022,harmful cultural practices,anxiety,clitoris
"Narrative: Child with impairments affecting daily life. Child reported by Antonio Haas, Jessica Burke Incident occurred on 05 April 2024 Affected parts: labia majora.",Child with disability,Antonio Haas; Jessica Burke,05 April 2024,,,labia majora
"Narrative: A child deserted by the parent or caregiver or not contacted for 6+ months. Child reported by Jessica Thomas Incident occurred on 21 October 2020 Topics involved include emotional abuse, online child abuse Affected parts: clitoris.",Abandoned,Jessica Thomas,21 October 2020,emotional abuse; online child abuse,,clitoris
"Summary: Child tested positive for HIV. Child reported by Melanie Miller Incident occurred on 01 June 2023 Topics involved include harmful cultural practices, Female Genital Mutilation Effects reported: infection, psychological problems Affected parts: labia majora.",Child infected with HIV,Melanie Miller,01 June 2023,harmful cultural practices; Female Genital Mutilation,infection; psychological problems,labia majora
"Narrative: Non-medical cutting or injury of female genitals. Child reported by Jennifer King, Amanda Perkins Incident occurred on 10 March 2023, 08 February 2024 Topics involved include Female Genital Mutilation Effects reported: high rate of bleeding, infection Affected parts: labia majora.",Female Genital Mutilation (FGM),Jennifer King; Amanda Perkins,10 March 2023; 08 February 2024,Female Genital Mutilation,high rate of bleeding; infection,labia majora
"Summary: Penetration act with a child including sodomy. Child reported by Christopher Harris, Nancy Farley Incident occurred on 15 November 2020 Topics involved include emotional abuse Effects reported: trauma.",Defilement,Christopher Harris; Nancy Farley,15 November 2020,emotional abuse,trauma,
"Narrative: Marriage or cohabitation with a child. Child reported by Michelle Crawford, Jamie Trevino Incident occurred on 24 September 2023, 11 November 2022 Topics involved include Female Genital Mutilation Effects reported: trauma, anxiety Affected parts: labia majora.",Child marriage,Michelle Crawford; Jamie Trevino,24 September 2023; 11 November 2022,Female Genital Mutilation,trauma; anxiety,labia majora
"Summary: Non-medical cutting or injury of female genitals. Child reported by David Pace, Erica Newton Incident occurred on 30 May 2023 Effects reported: anxiety, psychological problems Affected parts: reproductive organs.",Female Genital Mutilation (FGM),David Pace; Erica Newton,30 May 2023,,anxiety; psychological problems,reproductive organs
Narrative: An attempt to penetrate a child. Child reported by Leonard Garcia Incident occurred on 24 May 2023 Effects reported: psychological problems Affected parts: clitoris.,Attempted Defilement,Leonard Garcia,24 May 2023,,psychological problems,clitoris
Narrative: Acts harming a child's emotional development. Child reported by Michael Gonzalez Incident occurred on 17 November 2023 Effects reported: trauma.,Emotional abuse,Michael Gonzalez,17 November 2023,,trauma,
"Reported incident: A child under 14 unlawfully or forcibly taken or detained. Child reported by Natasha King, Jeffrey Wilson Incident occurred on 29 March 2024, 10 August 2021 Topics involved include emotional abuse Effects reported: infection, psychological problems.",Abduction,Natasha King; Jeffrey Wilson,29 March 2024; 10 August 2021,emotional abuse,infection; psychological problems,
"Summary: Right of a child to be registered at birth. Child reported by David Rocha, Michael Gates Incident occurred on 25 February 2022 Topics involved include child marriage Effects reported: infection Affected parts: labia minora.",Registration,David Rocha; Michael Gates,25 February 2022,child marriage,infection,labia minora
"Summary: Marriage or cohabitation with a child. Child reported by Shirley Hammond, Emily Washington Incident occurred on 19 June 2023, 08 February 2023 Topics involved include child marriage Effects reported: infection, trauma.",Child marriage,Shirley Hammond; Emily Washington,19 June 2023; 08 February 2023,child marriage,infection; trauma,
"Summary: An attempt to penetrate a child. Child reported by Dominique Hogan Incident occurred on 19 July 2024, 23 March 2021 Effects reported: HIV, anxiety.",Attempted Defilement,Dominique Hogan,19 July 2024; 23 March 2021,,HIV; anxiety,
"Case overview: Hazardous, exploitative or inappropriate work for a child. Child reported by Yolanda Mckay Incident occurred on 05 February 2025, 05 January 2025 Effects reported: HIV, infection.",Child labor,Yolanda Mckay,05 February 2025; 05 January 2025,,HIV; infection,
Case overview: Sexual acts between close relatives. Child reported by Melanie Cunningham Incident occurred on 19 August 2023 Effects reported: anxiety.,Incest,Melanie Cunningham,19 August 2023,,anxiety,
"Reported incident: Infliction or failure to prevent physical harm to a child. Child reported by Erin Cox, Rebecca Brooks Incident occurred on 14 October 2022 Effects reported: psychological problems, high rate of bleeding Affected parts: reproductive organs.",Physical abuse/violence,Erin Cox; Rebecca Brooks,14 October 2022,,psychological problems; high rate of bleeding,reproductive organs
"Reported incident: Non-medical cutting or injury of female genitals. Child reported by William Phillips Incident occurred on 21 March 2021, 06 June 2023 Topics involved include emotional abuse Effects reported: trauma, psychological problems.",Female Genital Mutilation (FGM),William Phillips,21 March 2021; 06 June 2023,emotional abuse,trauma; psychological problems,
"Case overview: Hazardous, exploitative or inappropriate work for a child. Child reported by Nicholas Torres Incident occurred on 27 April 2022 Topics involved include online child abuse.",Child labor,Nicholas Torres,27 April 2022,online child abuse,,
Reported incident: Right of a child to be registered at birth. Child reported by Christopher Stephens Incident occurred on 01 April 2025 Topics involved include child marriage Effects reported: anxiety Affected parts: clitoris.,Registration,Christopher Stephens,01 April 2025,child marriage,anxiety,clitoris
"Narrative: Child with impairments affecting daily life. Child reported by Rachel Willis Incident occurred on 30 July 2020 Topics involved include drug and substance abuse Effects reported: anxiety, high rate of bleeding.",Child with disability,Rachel Willis,30 July 2020,drug and substance abuse,anxiety; high rate of bleeding,
"Narrative: Recruitment or transport of a child for exploitation. Child reported by William Diaz, Mr. Joel Barnes DDS Incident occurred on 30 October 2020, 04 August 2022.",Child Trafficking,William Diaz; Mr. Joel Barnes DDS,30 October 2020; 04 August 2022,,,
"Case overview: Child with impairments affecting daily life. Child reported by Michael Guzman Incident occurred on 08 January 2021, 06 March 2024 Topics involved include drug and substance abuse Effects reported: trauma Affected parts: genitals.",Child with disability,Michael Guzman,08 January 2021; 06 March 2024,drug and substance abuse,trauma,genitals
"Case overview: A child living, begging, or working on the street. Child reported by Tiffany Hobbs Incident occurred on 31 August 2024, 03 April 2021 Topics involved include child labor Effects reported: HIV Affected parts: clitoris.",Children on the Street,Tiffany Hobbs,31 August 2024; 03 April 2021,child labor,HIV,clitoris
"Narrative: Exploitation of a child’s vulnerability or trust for sexual gain. Child reported by Jason Russell Incident occurred on 08 August 2023 Effects reported: infection, HIV.",Sexual assault and Abuse,Jason Russell,08 August 2023,,infection; HIV,
"Case overview: Exploitation of a child’s vulnerability or trust for sexual gain. Child reported by Kenneth Fisher, Christopher Trujillo Incident occurred on 07 January 2024 Topics involved include emotional abuse, child marriage Effects reported: anxiety, infection Affected parts: genitals.",Sexual assault and Abuse,Kenneth Fisher; Christopher Trujillo,07 January 2024,emotional abuse; child marriage,anxiety; infection,genitals
"Case overview: Child with impairments affecting daily life. Child reported by Ricky Dickerson, Daniel Allison Incident occurred on 12 February 2023 Effects reported: anxiety Affected parts: genitals.",Child with disability,Ricky Dickerson; Daniel Allison,12 February 2023,,anxiety,genitals
"Narrative: Child with impairments affecting daily life. Child reported by Jay Jefferson Incident occurred on 17 September 2022, 07 March 2025 Effects reported: anxiety, high rate of bleeding.",Child with disability,Jay Jefferson,17 September 2022; 07 March 2025,,anxiety; high rate of bleeding,
"Summary: A child deserted by the parent or caregiver or not contacted for 6+ months. Child reported by David Castro Incident occurred on 23 February 2025 Effects reported: trauma, infection Affected parts: labia minora.",Abandoned,David Castro,23 February 2025,,trauma; infection,labia minora
