record_id,line_number,transcript_length,summary_length,compression_ratio,word_count_transcript,word_count_summary,name,location,issue,category,priority,has_missing_fields,has_transcript_issues,has_summary_issues,has_consistency_issues,victim_info,perpetrator_info,referral_info,intervention_info,transcript_preview,summary_preview
line_14,14,638,252,0.3949843260188088,111,38,John,Mwanza,Child Labor,Forced labor,High,False,False,False,False,5-year-old daughter of a neighbor,Neighbor,Child Protection Office and police,Immediate reporting to Child Protection Office and police,"Hello, is this 116? Yes, thank you for calling. Who am I speaking to? My name is John, I'm from Mwanza. I have a problem that requires urgent attention. My neighbor's daughter, who is only 5 years old","John from Mwanza reported a case of child labor involving his neighbor's 5-year-old daughter. The child appears tired, malnourished and works instead of attending school. Referral was made to the Chil"
line_15,15,631,153,0.24247226624405704,114,21,John,Kisumu,Denial of Education,Child Rights Violation,Moderate,False,False,False,False,A 5-year-old child,Not specified,Report to Kisumu Education Authority and local police station,"Ensure the child receives education, follow up on progress","Hello, is this 116? Yes, thank you for calling. Who am I speaking to? My name is John, from Kisumu. I need help  my sister's child, who is only 5 years old, has been denied education for the past mont","John reported a 5-year-old child being denied education, with cooperation from teachers. The counselor advised reporting to authorities and following up."
line_16,16,574,282,0.4912891986062718,104,41,Hakeem,Mombasa,Forced child marriage,Child protection,High,False,False,False,True,14-year-old sister,Not mentioned,"[""Mombasa Women's Resource Centre and Network"", 'police']",Reporting the incident to relevant authorities and follow-ups,"Hello, is this 116? Yes, thank you for reaching out. Who am I speaking to? It's Hakeem from Mombasa. I need help - my 14-year-old sister has been forced into child marriage. That sounds troubling, Hak","Hakeem reported a case of forced child marriage involving his 14-year-old sister. The victim seems fearful, and others have noticed the forced wedding. Recommended actions include reporting to the Mom"
line_17,17,573,249,0.43455497382198954,100,41,Daniel,Kampala,Child marriage,Child protection,High,False,False,False,False,15-year-old daughter of a neighbor,Family members (unknown names),Kampala Child Protection Unit and police,Report to the authorities and follow-ups,"Hi, is this 116? Yes, thank you for calling. Who am I speaking to? My name is Daniel from Kampala. I need help  my neighbor's daughter, around 15 years old, has been forced into child marriage. This s","Daniel reported a case of child marriage for a 15-year-old girl in Kampala, expressing concern about her well-being as family members keep it secretive. The best action is to report the issue to the C"
line_18,18,556,284,0.5107913669064749,103,46,John,Mombasa,Forced child marriage,Child Protection,Urgent,False,False,False,False,John's niece (12 years old),John's niece's family,"[""Children's Office"", 'Police']",Report to authorities,"Hello, is this 116? Yes, thank you for calling. Who am I speaking to? My name is John, from Mombasa. I need help  my niece, who is only 12 years old, is being forced into child marriage next week. Thi","John reported a case of child marriage involving his niece, who is 12 years old. He mentioned the family's secrecy about the issue and expressed concern for her future. The counselor prioritized the c"
line_19,19,664,260,0.39156626506024095,110,42,Tomas,Mwanza,Child Labor,Workplace Exploitation,High,False,False,False,True,13-year-old sister,Unspecified factory management,"[""Children's Office"", 'Labor inspection department']",Report to relevant authorities and provide additional support,"Hello, you've reached the Child Protection Helpline. It's great that you're calling. I'm speaking with a man named Tomas from Mwanza. He's seeking help because his 13-year-old sister has been forced i",Tomas reported a case of child labor involving his 13-year-old sister in Mwanza. He shared that some of her friends are also victims. The victim is physically showing signs of fatigue. Referral was ma
line_20,20,532,244,0.45864661654135336,95,41,David,Mwanza,Forced marriage,Child protection violation,Urgent,False,False,False,True,13-year-old sister,Not specified,"['Mwanza Child Protection Office', 'Police']",Report to Child Protection Office and police,"Hi, is this 116? Yes, thanks for calling. Who am I speaking to? My name's David from Mwanza. I have a problem  my younger sister, she's 13, is being forced into marriage. I know it's wrong, and it sou",David reported a case of child marriage involving his 13-year-old sister. The situation was urgent as people were turning a blind eye. He was advised to report it to the Mwanza Child Protection Office
line_21,21,634,299,0.471608832807571,116,49,John,Kampala,Emotional abuse,Child protection,High,False,False,False,False,5-year-old neighbor's daughter,Neighbor's mother,"[""Kampala Children's Office"", 'Police']",Report to the appropriate authorities and follow up with the helpline,"Hello, is this 116? Yes, thank you for calling. Who am I speaking to? My name is John from Kampala. I need help  my neighbor's daughter, who is only 5 years old, is being subjected to emotional abuse.","John, from Kampala, reported emotional abuse of a 5-year-old neighbor's daughter who appears sad and withdrawn. No one has reported it yet, but some neighbors have noticed the situation. The best cour"
line_22,22,637,310,0.48665620094191525,117,50,James,Mombasa,Child labor,Child abuse,High (urgent action required),False,False,False,False,12-year-old girl neighbor,Neighbor who forces the girl into child labor,Mombasa Children's Office and police,"Report to authorities, follow-up by helpline","Hi there, is this the child helpline? Yes, thank you for reaching out. My name is James and I'm calling from Mombasa. I need help my neighbor's daughter, who is just 12 years old, has been forced into",James called the child helpline reporting a 12-year-old neighbor girl being forced into child labor at a local shop. The caller mentioned some neighbors have noticed but are afraid to take action. The
line_23,23,591,297,0.5025380710659898,104,47,Samuel,"Mombasa, Kenya",Child labor,Labor exploitation,High,False,False,False,True,13-year-old girl,Neighbor's parents,"[""Nairobi Children's Office"", 'Local police']","Report to authorities, follow-up by helpline","Hi, is this the Nairobi Children's Helpline? Yes, thank you for reaching out. I'm Samuel, calling from Mombasa. I have a concern about my neighbor's daughter, she's only 13 and she's being forced into",Samuel called reporting a 13-year-old girl being forced into child labor. He expressed concern for her health due to long working hours and visible exhaustion. The helpline counselor advised him to re
line_24,24,622,253,0.4067524115755627,110,42,Grace,"Mombasa, Kenya",Forced child marriage,Child marriage,High,False,False,False,True,14-year-old sister,Family members,Mombasa Children's Office and police,Report to the relevant authorities,"Hello, is this 116? Yes, thank you for calling. Who am I speaking to? My name's Grace, I'm from Mombasa. There's a problem with my younger sister - she's being forced into child marriage. That sounds ","Grace from Mombasa reported a case of forced child marriage involving her 14-year-old sister. The family seems to be involved, and the victim has been crying every night. The counselor urged Grace to "
line_25,25,772,257,0.3329015544041451,138,45,Anonymous,"Moshi, Tanzania",Child labor,Forced labor,High,False,False,False,False,12-year-old boy,The victim's father,"['Mwanza Labor Office', 'Police']",Investigation and action against the perpetrator,"Hello, is this the Mwanza Children's Helpline? Yes, hello. I'm calling from Moshi, Tanzania. There's a situation I need to report regarding a child, my neighbor's son, who is 12 years old. He's been f","A caller from Moshi, Tanzania reports forced child labor of a 12-year-old boy by his own father, who is working in a nearby factory. The counselor assures help, reports the case to the Mwanza Labor Of"
line_26,26,744,296,0.3978494623655914,137,50,John,Mwanza,Child labor,Labor exploitation,High,False,False,False,True,"Niece, 12 years old",Employer,"['Mwanza Child Labor Office', 'Police']",Report to relevant authorities and follow up,"Hello, is this the child protection helpline? Yes, thank you for reaching out. This is John from Mwanza speaking. I need help  my niece, she's only 12, is being forced into labor by her employer. That","John reported a case of child labor involving his niece, who is being forced to work without breaks or pay by her employer. The child looks exhausted and has stopped attending school. John suggested r"
line_27,27,635,362,0.5700787401574803,113,56,Daniel,Kisumu,Emotional abuse,Emotional abuse,Urgent,False,False,False,True,12-year-old sister,Stepmother,"[""Kisumu Children's Office"", 'Police']",Report to Kisumu Children's Office and police,"Hello, is this the Child Protection Helpline? Yes, hello. This is Daniel from Kisumu. I'm reaching out because my younger sister, who is only 12, is being emotionally abused by our stepmother. It's re","Daniel from Kisumu reported emotional abuse of his 12-year-old sister by their stepmother. No one else has spoken up about it. The perpetrator is the stepmother, and the victim is Daniel's younger sis"
line_28,28,752,254,0.3377659574468085,128,40,Joseph,Kampala,Forced Child Labor,Child labor,High,False,False,False,True,14-year-old sister (Name withheld),Factory owners,"Gulu Labor Office, local police, and relevant child protection agencies",Immediate reporting and follow-up for the victim's safety,"Hello, is this the Gulu Children's Helpline? Yes, thank you for your call. This is Joseph speaking from Kampala. I have a grave concern about my younger sister. She's only 14 and she's being forced in","Joseph reported his 14-year-old sister is being forced into child labor at a factory in Gulu. The counselor advised immediate reporting to the Gulu Labor Office, local police, and relevant child prote"
line_29,29,656,183,0.27896341463414637,114,27,John,Kampala,Forced Child Labor,Labor Exploitation,High,False,False,False,True,12-year-old sister,neighbor,"[""Kampala Children's Office"", 'Police']",Report to authorities and offer further support,"Hello, is this the children's helpline? Yes, thank you for reaching out. Who am I speaking with? My name is John, from Kampala. I've got a concern about my younger sister. She's only 12 and she's bein",John reported forced child labor of his 12-year-old sister by a neighbor. The helpline counselor offered guidance on reporting the case to authorities and provided additional support.
line_30,30,643,206,0.3203732503888025,114,34,Simon,Kitale,Child labor,Labor,High,False,False,False,True,6-year-old sister,Neighbor,Kitale Children's Office and police,Immediate reporting to the relevant authorities,"Hello, is this the Childline? Yes, thank you for reaching out. My name's Simon from Kitale. I have a serious concern about my little sister. She's only 6 and our neighbor has been forcing her to work ","Simon reported a case of child labor involving his 6-year-old sister in Kitale. He mentioned that the neighbor is forcing her to work every day, resulting in visible signs of exhaustion and blistered "
line_31,31,663,303,0.45701357466063347,124,50,Joseph,"Bukavu, Democratic Republic of Congo",Child labor,Labor Exploitation,High,False,False,False,True,6-year-old sister,Unspecified mine owners and managers,"['Kivu Child Labor Office', 'Police']","Report to authorities, provide follow-up support","Hi, is this the Kivu Children's Helpline? Yes, thanks for reaching out. Who am I speaking with? My name is Joseph from Bukavu. I have a sad story to share. My little sister, who is only 6 years old, h","Joseph reported a child labor issue involving his 6-year-old sister in Bukavu, who has been working at a local mine. He mentioned that other children are also involved but afraid to speak up. The coun"
line_32,32,571,246,0.4308231173380035,103,39,Jacob,Mwanza,Forced Child Marriage,Child Marriage,High,False,False,False,False,15-year-old sister of Jacob,Unnamed (presumably family members),Mwanza Children's Office and the police,Immediate report to authorities,"Hello, is this 116? Yes, thank you for calling. Who am I speaking to? My name is Jacob, I'm from Mwanza. I need help  my sister, who's just 15 years old, is being forced into child marriage. This soun",Jacob from Mwanza reported a case of child marriage involving his 15-year-old sister. The family and friends have noticed her distress. The situation is urgent and requires immediate action by reporti
line_33,33,633,294,0.46445497630331756,115,45,Peter,"Mombasa, Kenya",Child labor,Labor exploitation,Urgent,False,False,False,True,12-year-old niece (unidentified perpetrator),Factory management,"['Mombasa Labor Office', 'Police']",Report to the relevant authorities and follow up on the case,"Hello, is this 116? Yes, thank you for calling. Who am I speaking to? My name is Peter from Mombasa. I'm reaching out because my 12-year-old niece has been forced into child labor at a local factory. ","Peter reported a child labor issue involving his 12-year-old niece in Mombasa, Kenya. The victim appears exhausted with injured hands. The perpetrator is unclear but other children at the factory are "
line_34,34,644,193,0.2996894409937888,120,32,John,Tororo,Emotional abuse,Child protection issues,High (due to ongoing abuse and fear that the child might be at immediate risk),False,False,False,True,"13-year-old girl, neighbors' daughter",Mother,Report the case to local Child Protection Office and law enforcement agencies,"Provide support for the victim, ensure her safety, and initiate counseling or therapy for the perpetrator","Hello, is this 116? Yes, thank you for your call. Who am I speaking with? My name's John, calling from Tororo. There's a problem I need help with - my neighbor's daughter, she's 13, is being emotional",John reported a 13-year-old girl being emotionally abused by her mother. Other neighbors have observed this but haven't intervened due to fear. The child keeps her room closed most of the time.
line_35,35,667,211,0.31634182908545727,113,34,Simon,Kibuye,Child labor,Forced child labor,High,False,False,False,True,14-year-old niece,Family members at a local factory,"['Kigali Labor Inspectorate', 'local police']",Report to the authorities and follow up,"Hello, is this the Kigali Children's Helpline? Yes, thank you for reaching out. I'm speaking with Simon from Kibuye. I have a troubling situation to share  my 14-year-old niece has been forced into ch","Simon reported a case of child labor involving his niece in Kibuye, showing concern about her health and well-being. The case will be referred to the Kigali Labor Inspectorate and local police for inv"
line_36,36,636,277,0.43553459119496857,113,45,John,Narok,Child labor,Child Labor,High,False,False,False,True,12-year-old girl,"Unknown, but parents are suspected",Narok Children's Office and local education authority,"Investigate the case, remove the child from labor, and ensure her education is resumed.","Hi, is this 116? Yes, thank you for your call. I'm speaking to a concerned neighbor from Narok, my name's John. There's an issue regarding a 12-year-old girl who lives next door. She's been missing sc","A concerned neighbor reported a case of suspected child labor involving a 12-year-old girl from Narok. The girl has been absent from school for weeks, and her parents seem preoccupied. The best course"
line_37,37,615,239,0.3886178861788618,110,39,David,Mwanza,Child labor,Labor exploitation,High,False,False,False,True,12-year-old sister,"Unknown, probably a local shop owner",Mwanza Child Protection Unit and police,Immediate report to authorities,"Hello, is this the Childline helpline? Yes, hello. This is David speaking from Mwanza. I've got a problem that needs your attention. My 12-year-old sister has been forced into child labor for the past","David reported a case of child labor involving his 12-year-old sister. The situation seems urgent, and the best course of action is to report it to the Mwanza Child Protection Unit and police. The cou"
line_38,38,649,247,0.38058551617873654,112,40,James,Mbeya,Child Neglect,Neglect,High,False,False,False,True,6-year-old neighbor,Intoxicated mother,Mbeya Children's Office and police,Report to authorities and follow up,"Hi there, is this the child protection helpline? Yes, thanks for reaching out. This is speaking, I'm called James from Mbeya. I have a serious concern about a child  my 6-year-old neighbor. He's being","James reported a child neglected by an intoxicated mother. The child is 6 years old, appears undernourished, and has sores. Recommended actions were to report the issue to the Mbeya Children's Office "
line_39,39,554,339,0.6119133574007221,102,58,John,Kisumu,Forced child labor,Child Labor,Urgent,False,False,False,True,7-year-old sister,Not specified,"Children's Office, police",Investigation and protection services,"Hello, is this 116? Yes, thank you for calling. Who am I speaking to? My name's John, and I'm from Kisumu. I need help  my little sister, she's only 7, is being forced into domestic work. That sounds ","John from Kisumu reported a child labor issue involving his 7-year-old sister, who is being forced into domestic work. The victim seems to be in poor health and no one else has noticed the situation. "
line_40,40,745,261,0.3503355704697987,137,45,Sam,Mwanza,Emotional abuse,Emotional abuse,High,False,False,False,True,7-year-old sister,Stepmother,"[""Mwanza Children's Office"", 'Police']",Report the case to the authorities and follow up,"Hello, is this 116? Yes, thank you for reaching out. Who am I speaking with today? This is Sam, calling from Mwanza. I'm in need of help regarding a situation that's been happening to my younger siste","Sam reported emotional abuse of his 7-year-old sister by their stepmother. The situation has been going on for some time, and the victim seems afraid and no longer talks much. The caller was advised t"
line_41,41,570,212,0.3719298245614035,96,32,Joseph,Eldoret,Forced Child Marriage,Child Marriage,High,False,False,False,True,14-year-old niece,Not specified,"[""Eldoret Children's Office"", 'Police']",Immediate report to authorities,"Hello, is this the Child Protection Helpline? Yes, thank you for reaching out. My name's Joseph from Eldoret. I have a concerning situation regarding my niece, she's 14 and has been forced into child ","Joseph, a concerned uncle from Eldoret, reports his 14-year-old niece being forced into child marriage. The victim appears anxious and distressed. Referral is made to the Eldoret Children's Office and"
line_42,42,686,293,0.4271137026239067,121,54,Grace,Eldoret,Child labor,Workplace Exploitation,High,False,False,False,True,12-year-old brother,Local factory employers,"Eldoret Children's Office, Labor Inspectorate, and the police",Report to authorities and follow-up,"Hello, is this the Childline? Yes, thank you for reaching out. This is Grace speaking from Eldoret. I need help regarding my little brother who is being forced into child labor at a local factory. Tha",Grace reported a case of child labor involving her brother from Eldoret. The child is 12 years old and has been working in a factory since he was 8. Other children also work there but are too scared t
line_43,43,638,141,0.22100313479623823,115,19,Jane,Mombasa,Child Labor,Workplace Exploitation,Urgent,False,False,False,True,7-year-old brother,Not specified,"[""Mombasa Children's Office"", 'Labor Inspectorate']",Report to authorities and follow-up,"Hello, is this 116? Yes, thank you for your call. My name's Jane, I'm from Mombasa. I need help. My little brother, who's only 7, is being forced to work long hours at a factory. That sounds terrible,","Caller reports child labor involving a 7-year-old brother in Mombasa. Counselor reassures, advises reporting to authorities and following up."
line_44,44,637,254,0.3987441130298273,106,42,John,Eldoret,Child Labor,Labor Exploitation,Urgent,False,False,False,True,12-year-old girl,Not specified,"[""Eldoret Children's Office"", 'Local Police']","Investigation, Rescue, Rehabilitation","Hello, is this the child protection hotline? Yes, thank you for reaching out. I'm speaking to a concerned neighbor from Eldoret, John. He's calling about a distressing situation involving a 12-year-ol","John, a concerned neighbor, reported a 12-year-old girl being forced into child labor in Eldoret. The situation is critical as the girl shows visible signs of exhaustion and injury. Report it to the E"
line_45,45,603,274,0.45439469320066334,107,41,David,Eldoret,Forced child labor,Child labor,High,False,False,False,False,14-year-old sister,Neighbor,"[""Nairobi Children's Office, Police, Local community leaders""]",Report to authorities and community leaders; follow-up by the helpline,"Hello, is this the Nairobi Children's Helpline? Yes, good day. My name is David, I'm calling from Eldoret. I need help  my younger sister, who is 14 years old, has been forced into domestic work by ou","David reported forced child labor of his 14-year-old sister by a neighbor in Eldoret. The counselor reassured him, emphasized the need for immediate action, and suggested reporting the case to the rel"
line_46,46,531,273,0.5141242937853108,96,43,Joseph,"Mwanza, Tanzania",Forced child marriage,Child protection issues,High,False,False,False,True,12-year-old sister,Unknown,"['Local Child Welfare Society', 'Police']",Immediate action required to protect the victim from further harm,"Hello, is this the child protection helpline? Yes, thank you for calling. Who am I speaking with? Hi, I'm Joseph from Mwanza. I need help  my little sister, who's only 12, has been forced into marriag","Joseph reported his 12-year-old sister being forced into marriage in Mwanza, Tanzania. No one else has noticed. He feels helpless as she cries every night. The counselor suggested reporting it to the "
line_47,47,578,303,0.5242214532871973,104,50,Joseph,Mombasa,Forced child labor,Labor exploitation,High,False,False,False,False,12-year-old sister,Unspecified,"['Child Welfare Society in Mombasa', 'Police']","Report to Child Welfare Society and police, follow-up","Hello, is this the child helpline? Yes, thank you for reaching out. This is Joseph speaking from Mombasa. I need help. My little sister who's only 12 years old is being forced into domestic work. That",Joseph from Mombasa reported a case of child labor involving his 12-year-old sister. The victim has been showing signs of physical abuse and exhaustion. No one else seems aware of the situation. The c
line_49,49,570,260,0.45614035087719296,100,44,James,Mbale,Child Labor,Labor,High,False,False,False,True,14-year-old niece,Local factory management,Kampala Child Protection Unit and labor inspectorate,Report the issue to relevant authorities,"Hello, is this the Kampala Childline? Yes, thank you for reaching out. This is James from Mbale. I've got a serious concern regarding my 14-year-old niece. She's being forced into child labor at a loc","James from Mbale reported a case of child labor involving his 14-year-old niece. No one else has spoken up about it, and she appears tired and work-worn. The counselor advised him to report the issue "
line_50,50,657,233,0.3546423135464231,120,39,Sam,"Mombasa, Kenya",Child labor,Labor exploitation,High,False,False,False,True,7-year-old boy,The child's employer at the construction site,"['Mombasa Labor Office', 'Police']","Investigate the alleged labor violation, ensure the child is removed from the work environment, and provide appropriate rehabilitative services.","Hello, is this 116? Yes, thank you for reaching out. This is Sam calling from Mombasa. I need help  my neighbor's son, who is just 7 years old, has been working long hours at a construction site every","Sam reported a child labor issue involving a 7-year-old boy in Mombasa, Kenya. The child is working long hours at a construction site and comes home injured. Referral was made to the Mombasa Labor Off"
line_51,51,622,341,0.5482315112540193,109,58,James,Kisumu,Child Labor,Forced Labor,High,False,False,False,True,A 12-year-old boy,The victim's neighbor,Kisumu Children's Office and labor inspectorate,"Immediate action, report to the relevant authorities","Hello, is this 116? Yes, thanks for reaching out. This is James from Kisumu speaking. I'm calling about a problem with my neighbor's child. He's 12 and he's being forced to work in a local factory. Th",Caller reported a child forced into labor by his neighbor. The victim is a 12-year-old boy who comes home from work late every day with bruises. The caller is afraid and has noticed no one else report
line_52,52,631,280,0.4437400950871632,113,44,James,Mombasa,Forced child marriage,Child marriage,High,False,False,False,True,14-year-old sister,Family members,"[""Mombasa Children's Office"", 'police']",Report to authorities and follow up,"Hello, is this 116? Yes, thank you for calling. Who am I speaking to? My name is James, I'm from Mombasa. I'm very worried about my sister. She's only 14 and she's been forced into child marriage. Tha","James from Mombasa reported a case of child marriage involving his 14-year-old sister. The entire family seems to be involved, and the victim has not attended school for months. The counselor advised "
line_53,53,577,308,0.5337954939341422,103,53,Joseph,Mombasa,Forced child labor,Child labor,High,False,False,False,True,13-year-old niece,Local factory workers and management,Mombasa Labor Office and police,Report to authorities and follow-ups by the helpline,"Hello, is this 116? Yes, thank you for reaching out. Who's calling? It's Joseph from Mombasa. I have a concern about my niece. She's only 13 and she's being forced into child labor at a local factory.","Joseph reported a case of child labor involving his niece, who is 13 years old. He noticed injuries from work and mentioned that some workers at the factory are aware but afraid to speak out. The coun"
line_54,54,601,210,0.34941763727121466,108,36,Simon,Kisumu,Forced child marriage,Child protection (child marriage),High,False,False,False,True,13-year-old sister,In-laws,Kisumu Children's Office and local police,Immediate report to authorities,"Hello, is this 116? Yes, thank you for reaching out. This is speaking, I'm Simon from Kisumu. I need help  my younger sister, aged 13, is being forced into child marriage next week by her in-laws. Tha","Simon reported a case of forced child marriage involving his 13-year-old sister in Kisumu. The issue was noticed by others, and she has been acting withdrawn out of fear. The caller is concerned for h"
line_55,55,692,283,0.40895953757225434,120,47,Sam,Mombasa,Child Labor,Labor Issues,High,False,False,False,True,12-year-old sister,Unidentified at the factory,"[""Nairobi Children's Office, Relevant Labor Authorities, Police""]",Immediate reporting and follow-up,"Hello, is this the Nairobi Children's Helpline? Yes, thank you for reaching out. This is Sam speaking from Mombasa. I urgently need help; my younger sister, who is only 12, is being forced into child ",Sam from Mombasa reported a case of child labor involving his 12-year-old sister at a local factory. The victim has visible injuries and no one else has noticed or spoken up about it. Immediate action
line_56,56,652,251,0.38496932515337423,117,40,John,Mwanza,Forced Child Marriage,Child Protection,High,False,False,False,False,14-year-old sister,Mother and husband,"Children's Office, police",Investigation and support,"Hello, is this 116? Yes, thank you for calling. Who am I speaking to? My name is John, I'm calling from Mwanza. I need help  my younger sister, who is just 14 years old, has been forced into child mar",John reported a case of child marriage involving his 14-year-old sister in Mwanza. The mother and husband are involved and the victim is scared. The counselor advised reporting it to the Children's Of
